"company","company_id"
"TMP Worldwide","CO237"
"Movado","CO238"
"Slack","CO239"
"New York City POLICE DEPARTMENT","CO240"
"Tastemade","CO241"
"Saks Fifth Avenue","CO242"
"Annalect","CO243"
"Interactive One","CO244"
"Thornton Tomasetti.","CO245"
"FactSet Research Systems","CO246"
"Momentum Resource Solutions","CO247"
"Wavsys, LLC","CO248"
"USA for UNHCR","CO249"
"CASES","CO250"
"OpenText","CO251"
"Aptus Health","CO252"
"Weber Shandwick","CO253"
"Dataminr","CO254"
"Taboola","CO255"
"Publishers Clearing House","CO256"
"Businesses UNITED TECHNOLOGIES CORP. HEADQUARTERS","CO257"
"Bluecore Inc.","CO258"
"Two95 International Inc.","CO259"
"Hamlyn Williams","CO260"
"Research Now","CO261"
"Harmony Labs","CO262"
"Havas Media","CO263"
"Wiley","CO264"
"Simon Property Group","CO265"
"Sapient","CO266"
"Fox News Channel","CO267"
"Bonobos","CO268"
"DigitasLBi","CO269"
"FanDuel","CO270"
"Daugherty Business Solutions","CO271"
